seed,cond,method,ece,brier,nll
0,clean,uncalibrated,0.16963458938894588,0.25853129743440867,0.7720255485244015
0,clean,static_temp,0.08022319936258582,0.2433104928331195,0.6796588332003101
0,clean,transcal,0.08022319835582575,0.24331049244394226,0.6796588324021103
0,clean,mora_global,0.050938129112018664,0.2346363886223552,0.6611993542143635
0,clean,mora_permod,0.05229319513738174,0.23509768895518615,0.6622894239102293
0,img_subset,uncalibrated,0.2597399127722806,0.3062135247255963,1.3095993136230337
0,img_subset,static_temp,0.09595826598264522,0.2460450190176326,0.6851838955169193
0,img_subset,transcal,0.09595826601214875,0.24604501889825783,0.6851838952732228
0,img_subset,mora_global,0.11519129914865793,0.24639089503022887,0.6869870140884511
0,img_subset,mora_permod,0.10827309391345759,0.24619118004909063,0.6865259446864931
0,clin_subset,uncalibrated,0.18107465811611276,0.2661314418549362,0.7924546120747971
0,clin_subset,static_temp,0.08053170286703935,0.2435632841080571,0.6801723065009595
0,clin_subset,transcal,0.08053170188188791,0.2435632837377086,0.6801723057421415
0,clin_subset,mora_global,0.0550012252631524,0.23558868623664697,0.6633075978135204
0,clin_subset,mora_permod,0.058365380947722874,0.23590172170500232,0.6640004764922387
1,clean,uncalibrated,0.13105896232228897,0.2501193961614866,0.7172224476495993
1,clean,static_temp,0.08708297353988212,0.24658098320598848,0.6862978904379631
1,clean,transcal,0.08823726688665291,0.2398505048353584,0.6726843253545826
1,clean,mora_global,0.07465705470882322,0.2399725648993832,0.6728735262771565
1,clean,mora_permod,0.0758569085636874,0.2402274591690841,0.673410498817596
1,img_subset,uncalibrated,0.314140044954414,0.35774238880470904,1.432794824529487
1,img_subset,static_temp,0.10295544773351206,0.2520482499634897,0.6975491755626855
1,img_subset,transcal,0.17594523250640826,0.28563353409178166,0.8091182978122824
1,img_subset,mora_global,0.14450421580789202,0.27090480489055563,0.7519822952413386
1,img_subset,mora_permod,0.1518425183830764,0.27097888932131153,0.7517658168934208
1,clin_subset,uncalibrated,0.1846826802833387,0.25826433059510073,0.7417874256480592
1,clin_subset,static_temp,0.08800917061774828,0.24634904432671073,0.6858277663572002
1,clin_subset,transcal,0.1004700726695364,0.24061118402050422,0.6741158093889703
1,clin_subset,mora_global,0.11423155115169814,0.24005860361846504,0.672873257204765
1,clin_subset,mora_permod,0.09405857078560441,0.24048737684511687,0.6739273883133118
2,clean,uncalibrated,0.14808237882899963,0.2656954604660706,0.7321379777759146
2,clean,static_temp,0.11493105886248277,0.2500813969465846,0.6914952057689534
2,clean,transcal,0.14821505631428308,0.265874008044751,0.73266376522435
2,clean,mora_global,0.06543418938776886,0.24453864922293758,0.6817151617427858
2,clean,mora_permod,0.0651020845933331,0.244666870530029,0.6819851903430882
2,img_subset,uncalibrated,0.31738342944866293,0.37261058551971477,1.4555727576129545
2,img_subset,static_temp,0.29539902136909263,0.340759904572104,1.0747630501721237
2,img_subset,transcal,0.3177104733233352,0.3728621962497457,1.4596258452962698
2,img_subset,mora_global,0.15239975272582412,0.2741346590209095,0.747963051443565
2,img_subset,mora_permod,0.15030884366986755,0.27395132409025724,0.7473342897686128
2,clin_subset,uncalibrated,0.15796956515386507,0.27463501144735214,0.7642369524384636
2,clin_subset,static_temp,0.10790618382779671,0.25383672542498065,0.7010539974312954
2,clin_subset,transcal,0.15850728006444378,0.2748544935934755,0.7650292599915002
2,clin_subset,mora_global,0.07083965585460833,0.24381251466157636,0.6803300725262241
2,clin_subset,mora_permod,0.07140539652801563,0.2444673854647237,0.6816321062198653
3,clean,uncalibrated,0.2021999954066739,0.2756895522150107,0.8000252255067493
3,clean,static_temp,0.07875212060089883,0.2424772623096132,0.6780886100453056
3,clean,transcal,0.0858781886159889,0.24396854968891948,0.6810360857866226
3,clean,mora_global,0.11036727531654165,0.2437054327327559,0.6812646200480902
