arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
image,-,uncalibrated,0,0.3981288981288981,0.5508734313495716,0.31320389635848284,0.9263874051330875,0.2569985848570627,0.5021269917488098,-0.3615019033053742,0.9094114152242563,1.0,0.038461538461538464,0.5967741935483871,1.0,0.7474747474747475,0.04487568223165561,0.5641310214996338
image,-,temperature,0,0.3981288981288981,0.5508734313495716,0.2533681784462872,0.7013277395720097,0.1277397224357785,0.16438832619762522,-1.2494989108733912,0.9090383760295934,0.7297297297297297,0.19230769230769232,0.5625,0.3333333333333333,0.6352941176470588,-0.08319467554076532,0.5641310214996338
image,-,platt,0,0.3981288981288981,0.5508734313495716,0.2565585600600415,0.7081993929042812,0.1663917529777502,0.470397822262497,-1.0104502935910533,0.7861135612140295,0.5675675675675675,0.23076923076923078,0.5121951219512195,0.2727272727272727,0.5384615384615384,-0.20638297872340416,0.5641310214996338
image,-,isotonic,0,0.43087318087318077,0.5564174564174564,0.33667332665167043,2.4176223203111435,0.19663104663041434,0.7499999,-0.043734401221362317,0.318599499317773,0.8378378378378378,0.07692307692307693,0.5636363636363636,0.25,0.6739130434782609,-0.0950173812282733,0.5641310214996338
image,-,uncalibrated,1,0.4284210526315789,0.5492339596151005,0.3068290792605834,0.9500818578484985,0.24626587780695108,0.8795141577720642,-0.28382980761898213,0.8247279076338067,0.8157894736842105,0.2,0.6078431372549019,0.4166666666666667,0.6966292134831461,0.017331022530329254,0.6488643884658813
image,-,temperature,1,0.4284210526315789,0.5492339596151005,0.254130608607749,0.7054733717229191,0.1290791966161899,0.8220518652626586,-1.0230604271702,0.8247470442159918,0.07894736842105263,0.76,0.3333333333333333,0.35185185185185186,0.1276595744680851,-0.13438735177865624,0.6488643884658813
image,-,platt,1,0.4284210526315789,0.5492339596151005,0.26199714345672065,0.7244913648797662,0.14931292241149477,0.8652362539907853,-0.752001062219809,0.6574863314832221,0.07894736842105263,0.76,0.3333333333333333,0.35185185185185186,0.1276595744680851,-0.13438735177865624,0.6488643884658813
image,-,isotonic,1,0.41210526315789475,0.5612129755407498,0.29035324399047185,1.2218230792845621,0.1991451814556595,0.9999999,-0.202421136735906,0.4934720800423435,0.5526315789473685,0.32,0.5526315789473685,0.32,0.5526315789473685,-0.12736842105263158,0.6488643884658813
image,-,uncalibrated,2,0.49584199584199584,0.6019512606279049,0.3137714708784433,0.9424630788164337,0.2908792524110703,0.870464563369751,-0.02986385798255002,0.40046590234399465,0.8108108108108109,0.15384615384615385,0.5769230769230769,0.36363636363636365,0.6741573033707865,-0.0386583285957931,0.6553272008895874
image,-,temperature,2,0.49584199584199584,0.6019512606279049,0.2518854380110255,0.6990094058971722,0.09046106949798825,0.6471678265918096,-0.09377367484165909,0.4005316968818119,0.35135135135135137,0.6538461538461539,0.5909090909090909,0.4146341463414634,0.4406779661016949,0.00478697941598849,0.6553272008895874
image,-,platt,2,0.49584199584199584,0.6019512606279049,0.2514151091873742,0.6979161748831669,0.06274181622844903,0.6314078704121089,-0.09867819799257097,0.4046464774958483,0.35135135135135137,0.6538461538461539,0.5909090909090909,0.4146341463414634,0.4406779661016949,0.00478697941598849,0.6553272008895874
image,-,isotonic,2,0.49376299376299376,0.5830949638037923,0.2670251533785552,0.9543490768919521,0.07972521910666713,0.9999999,-0.1387478351859707,0.41865965938690664,0.5135135135135135,0.5,0.59375,0.41935483870967744,0.5507246376811594,0.01313794845881755,0.6553272008895874
image,-,uncalibrated,3,0.5540540540540542,0.6334858890595907,0.24884386003711934,0.6965181536273104,0.10873555427505856,0.512030671040217,0.17572174039449398,0.2497628532288565,0.8648648648648649,0.038461538461538464,0.5614035087719298,0.16666666666666666,0.6808510638297872,-0.10915492957746475,0.5282204747200012
image,-,temperature,3,0.5540540540540542,0.6334858890595907,0.2459533521205646,0.687973805703029,0.06403628026015745,0.3261002697660471,0.21082254431843223,0.24972047748074025,0.8648648648648649,0.038461538461538464,0.5614035087719298,0.16666666666666666,0.6808510638297872,-0.10915492957746475,0.5282204747200012
image,-,platt,3,0.5540540540540542,0.6334858890595907,0.24551296803192274,0.6864257432167812,0.06061730152231455,0.8317271740946839,0.23848366820778377,0.2306194974517749,0.918918918918919,0.038461538461538464,0.576271186440678,0.25,0.7083333333333334,-0.04875148632580273,0.5282204747200012
image,-,isotonic,3,0.5244282744282744,0.6117612526281258,0.2567362335880855,0.7111390173641721,0.14462080466473967,0.4166666467984517,0.21184854306161788,0.20830794252820478,0.8648648648648649,0.038461538461538464,0.5614035087719298,0.16666666666666666,0.6808510638297872,-0.10915492957746475,0.5282204747200012
image,-,uncalibrated,4,0.5519750519750519,0.633230803906001,0.24142473423554203,0.676103365730185,0.0774834690585969,0.37186428904533386,0.6338840985105723,0.21561457123187058,0.4594594594594595,0.5384615384615384,0.5862068965517241,0.4117647058823529,0.5151515151515151,-0.001988071570576455,0.5507556200027466
image,-,temperature,4,0.5519750519750519,0.633230803906001,0.24431360931040458,0.681731723753012,0.06638759201504359,0.07770741805648784,1.6859274944930782,0.21587724412099543,0.24324324324324326,0.8461538461538461,0.6923076923076923,0.44,0.36,0.07861060329067637,0.5507556200027466
image,-,platt,4,0.448024948024948,0.5521700669898995,0.2433020169610682,0.679756669070461,0.06280174056010143,0.0928560278999121,-9.062821771556214,4.1438982671640465,1.0,0.0,0.5873015873015873,,0.74,0.0,0.5507556200027466
image,-,isotonic,4,0.5893970893970895,0.6340252581631891,0.23535542905758863,0.662938866531226,0.030277538934865844,0.4936927686924585,0.9858198934153012,-0.06971010931565653,0.9459459459459459,0.11538461538461539,0.603448275862069,0.6,0.7368421052631579,0.06969875959834615,0.5507556200027466
