arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
image,-,isotonic,2.000±1.414,0.490±0.064,0.589±0.030,0.277±0.035,1.194±0.644,0.130±0.066,0.732±0.245,0.163±0.435,0.274±0.197,0.743±0.175,0.210±0.175,0.575±0.020,0.351±0.150,0.639±0.075,-0.050±0.077,0.589±0.052
image,-,platt,2.000±1.414,0.465±0.055,0.578±0.034,0.252±0.007,0.699±0.016,0.100±0.047,0.578±0.282,-2.137±3.491,1.245±1.462,0.583±0.345,0.337±0.314,0.520±0.098,0.322±0.065,0.511±0.221,-0.077±0.082,0.589±0.052
image,-,temperature,2.000±1.414,0.486±0.063,0.594±0.037,0.250±0.004,0.695±0.009,0.096±0.028,0.407±0.284,-0.094±1.045,0.520±0.291,0.454±0.297,0.498±0.322,0.548±0.118,0.341±0.096,0.449±0.200,-0.049±0.079,0.589±0.052
image,-,uncalibrated,2.000±1.414,0.486±0.063,0.594±0.037,0.285±0.033,0.838±0.125,0.196±0.086,0.627±0.208,0.027±0.358,0.520±0.291,0.790±0.179,0.194±0.184,0.586±0.016,0.472±0.279,0.663±0.078,-0.018±0.053,0.589±0.052
