seed,cond,auroc,err_rate,aurc_conf,aurc_permod,aurc_global,aurc_random,sr_conf@0.6,sr_permod@0.6,sr_global@0.6,sr_conf@0.7,sr_permod@0.7,sr_global@0.7,sr_conf@0.8,sr_permod@0.8,sr_global@0.8,sr_conf@0.9,sr_permod@0.9,sr_global@0.9,deferred_shift_recall,attribution_acc
0,clean,0.6088235294117648,0.39880952380952384,0.30200412283172245,0.3374165108054954,0.33816184601544774,0.3870577793286579,0.37623762376237624,0.3564356435643564,0.3465346534653465,0.3813559322033898,0.3474576271186441,0.3728813559322034,0.3805970149253731,0.3582089552238806,0.3582089552238806,0.3708609271523179,0.3443708609271523,0.36423841059602646,,
0,img_subset,0.5223529411764707,0.4523809523809524,0.4635713443643219,0.38065767862169936,0.3734423323968569,0.4483154047023038,0.44554455445544555,0.4158415841584158,0.4158415841584158,0.4745762711864407,0.3983050847457627,0.4067796610169492,0.4626865671641791,0.41044776119402987,0.417910447761194,0.4503311258278146,0.41721854304635764,0.41721854304635764,1.0,1.0
0,clin_subset,0.5942647058823529,0.375,0.3331578562873487,0.33072901853114234,0.3392212217935235,0.368495864746667,0.37623762376237624,0.3564356435643564,0.32673267326732675,0.3813559322033898,0.3644067796610169,0.3559322033898305,0.373134328358209,0.3656716417910448,0.3805970149253731,0.3443708609271523,0.37748344370860926,0.37748344370860926,0.98,1.0
1,clean,0.6320588235294118,0.42857142857142855,0.3159068840961145,0.36406050492610253,0.3554946391066576,0.36486136565967137,0.32673267326732675,0.36633663366336633,0.36633663366336633,0.3389830508474576,0.3898305084745763,0.3813559322033898,0.3880597014925373,0.3805970149253731,0.3880597014925373,0.40397350993377484,0.4105960264900662,0.4105960264900662,,
1,img_subset,0.5144117647058823,0.4523809523809524,0.4835660241390562,0.3688774201139,0.3630541533299085,0.49485377419014204,0.43564356435643564,0.36633663366336633,0.36633663366336633,0.423728813559322,0.3983050847457627,0.3983050847457627,0.417910447761194,0.44029850746268656,0.44029850746268656,0.44370860927152317,0.44370860927152317,0.44370860927152317,1.0,1.0
1,clin_subset,0.6198529411764706,0.4166666666666667,0.3247475133228881,0.4061319373134891,0.3935592666917267,0.36349111387085886,0.33663366336633666,0.44554455445544555,0.42574257425742573,0.3813559322033898,0.4576271186440678,0.4491525423728814,0.41044776119402987,0.43283582089552236,0.43283582089552236,0.40397350993377484,0.4370860927152318,0.423841059602649,1.0,1.0
2,clean,0.5533823529411765,0.4880952380952381,0.354222798984919,0.4214405575656171,0.40872198826528006,0.47338720457626887,0.39603960396039606,0.45544554455445546,0.42574257425742573,0.423728813559322,0.4406779661016949,0.423728813559322,0.44029850746268656,0.44776119402985076,0.44029850746268656,0.45695364238410596,0.47019867549668876,0.47019867549668876,,
2,img_subset,0.5291176470588235,0.49404761904761907,0.4375808467469233,0.4652853694402073,0.4617329972597809,0.4468409198300934,0.43564356435643564,0.48514851485148514,0.4752475247524752,0.4576271186440678,0.4491525423728814,0.4491525423728814,0.4626865671641791,0.48507462686567165,0.47761194029850745,0.48344370860927155,0.48344370860927155,0.48344370860927155,1.0,1.0
2,clin_subset,0.5554411764705882,0.4523809523809524,0.384752551339962,0.48972374621867104,0.4927302623858188,0.3982679791030484,0.40594059405940597,0.48514851485148514,0.48514851485148514,0.4152542372881356,0.4830508474576271,0.4576271186440678,0.40298507462686567,0.47761194029850745,0.48507462686567165,0.423841059602649,0.46357615894039733,0.45695364238410596,0.98,1.0
3,clean,0.5739705882352941,0.44642857142857145,0.3908419439079291,0.4174870730697907,0.39250538034763754,0.47623633025783496,0.43564356435643564,0.43564356435643564,0.43564356435643564,0.4491525423728814,0.423728813559322,0.4406779661016949,0.44776119402985076,0.44029850746268656,0.44776119402985076,0.4370860927152318,0.44370860927152317,0.4503311258278146,,
