arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
image,-,uncalibrated,0,0.3648648648648649,0.5131710481732648,0.25419552630108566,0.702771718632169,0.15445625687402392,0.22883936491879553,-3.6337130486940765,1.7450264440203676,0.21621621621621623,0.5,0.38095238095238093,0.30952380952380953,0.27586206896551724,-0.26,0.6063061356544495
image,-,temperature,0,0.3648648648648649,0.5131710481732648,0.2506854681842027,0.6948058115617144,0.07882153871580685,0.277257217159823,-5.551572137052725,1.745155903754098,0.02702702702702703,0.8846153846153846,0.25,0.3898305084745763,0.04878048780487805,-0.07433318758198504,0.6063061356544495
image,-,platt,0,0.6351351351351351,0.6817083881269721,0.22911824251896634,0.6505283560467637,0.09652493064758848,0.21927857545838408,1.9721050280307497,-0.6116665303087835,0.7837837837837838,0.5,0.6904761904761905,0.6190476190476191,0.7341772151898734,0.2921348314606741,0.6063061356544495
image,-,isotonic,0,0.3908523908523908,0.5570007947057127,0.25204609018711593,0.6982982363759087,0.0910663363358136,0.5,-5.668078053754274,2.7300499057944885,0.05405405405405406,0.7692307692307693,0.25,0.36363636363636365,0.08888888888888889,-0.15158270173874255,0.6063061356544495
image,-,uncalibrated,1,0.3968421052631579,0.544042057448282,0.25057018693899236,0.6944735053838401,0.11724197202258635,0.29586012164751685,-1.5722169589318016,0.6942771023077651,0.10526315789473684,0.76,0.4,0.3584905660377358,0.16666666666666666,-0.11307420494699638,0.5812521576881409
image,-,temperature,1,0.3968421052631579,0.544042057448282,0.25093759593470444,0.6952801242875585,0.13492874403292968,0.3493058872766178,-1.4465458766641408,0.6942726293628684,0.10526315789473684,0.76,0.4,0.3584905660377358,0.16666666666666666,-0.11307420494699638,0.5812521576881409
image,-,platt,1,0.6031578947368421,0.6525893646776263,0.23727017395302027,0.6674545131379349,0.021495252325018817,0.024480415694600022,3.2036216991647217,-0.7074208569759393,0.7368421052631579,0.44,0.6666666666666666,0.5238095238095238,0.7,0.18181818181818188,0.5812521576881409
image,-,isotonic,1,0.3868421052631579,0.5464302648513174,0.2729886426338753,1.399370170266632,0.12923103880541795,0.7499999,-0.10428210724308566,0.5527248568191381,0.10526315789473684,0.76,0.4,0.3584905660377358,0.16666666666666666,-0.11307420494699638,0.5812521576881409
image,-,uncalibrated,2,0.43555093555093555,0.5683371837638729,0.25882024155361744,0.7133575501763579,0.07182942827542621,0.3484236001968384,-0.6005363391258172,0.6185750480456,0.08108108108108109,0.8461538461538461,0.42857142857142855,0.39285714285714285,0.13636363636363635,-0.06211180124223614,0.7000433206558228
image,-,temperature,2,0.43555093555093555,0.5683371837638729,0.2673340692005766,0.7354920285472485,0.11632539080327467,0.8717022013593703,-0.45122136166822957,0.6184526530390626,0.2702702702702703,0.6538461538461539,0.5263157894736842,0.38636363636363635,0.35714285714285715,-0.06880301602262007,0.7000433206558228
image,-,platt,2,0.43555093555093555,0.5683371837638729,0.27579771174155643,0.7562963380508407,0.17462193760141498,0.43904164826168957,-0.35102139942109417,0.5345589319584024,0.2702702702702703,0.6538461538461539,0.5263157894736842,0.38636363636363635,0.35714285714285715,-0.06880301602262007,0.7000433206558228
image,-,isotonic,2,0.4100831600831601,0.5581042478326009,0.300393763394038,1.0314088128370322,0.15736326775609588,0.8072063299006633,-0.05195327695300415,0.40666834068968216,0.24324324324324326,0.6538461538461539,0.5,0.37777777777777777,0.32727272727272727,-0.09282700421940948,0.7000433206558228
image,-,uncalibrated,3,0.47505197505197505,0.5870314306822919,0.25390837924245496,0.7020020085021118,0.12829997236766513,0.7276834845542908,-0.7666312861917642,0.6097908603646448,0.6216216216216216,0.4230769230769231,0.6052631578947368,0.44,0.6133333333333333,0.044955567171981126,0.5569818615913391
