arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
fusion,attention,isotonic,2.000±1.414,0.483±0.073,0.591±0.041,0.265±0.023,0.990±0.285,0.099±0.059,0.547±0.311,0.487±1.269,0.222±0.420,0.676±0.349,0.308±0.296,0.565±0.045,0.482±0.118,0.575±0.206,-0.011±0.063,0.581±0.057
fusion,attention,platt,2.000±1.414,0.438±0.070,0.571±0.041,0.257±0.008,0.710±0.018,0.124±0.047,0.424±0.257,-0.664±0.821,0.651±0.359,0.569±0.296,0.348±0.272,0.541±0.036,0.345±0.033,0.521±0.178,-0.082±0.048,0.581±0.057
fusion,attention,temperature,2.000±1.414,0.480±0.091,0.619±0.073,0.248±0.009,0.690±0.019,0.088±0.056,0.332±0.164,0.883±2.447,0.337±0.663,0.508±0.338,0.492±0.355,0.621±0.132,0.410±0.029,0.487±0.200,-0.001±0.073,0.581±0.057
fusion,attention,uncalibrated,2.000±1.414,0.480±0.091,0.619±0.073,0.247±0.006,0.687±0.013,0.062±0.034,0.242±0.152,1.621±4.250,0.336±0.665,0.285±0.231,0.730±0.239,0.603±0.081,0.414±0.013,0.341±0.178,0.012±0.045,0.581±0.057
